"V1","word","wf","img","os","ps","ons","pns","op_uncond","op_coda","op_onset","log_wf","log_ons","log_pns","word_length"
4650,"spurn",44,2,0.0200357025792916,0.0082307340609718,5,15,0.04809429,0,0,1.65321251377534,0.778151250383644,1.20411998265592,5
4651,"spurned",230,NA,0.0092176585292919,-0.0016468488871091,2,6,0.04809429,0,0,2.36361197989214,0.477121254719662,0.845098040014257,7
4652,"spurns",17,NA,NA,NA,3,13,0.04809429,0,0,1.25527250510331,0.602059991327962,1.14612803567824,6
4653,"spurs",53,NA,0.0176365618178155,0.0183370497666013,9,20,0.04809429,0,0,1.73239375982297,1,1.32221929473392,5
4654,"spurt",221,3.3,0.10677732959286,0.0354423918828703,5,16,0.04809429,0,0,2.34635297445064,0.778151250383644,1.23044892137827,5
4655,"spurts",23,NA,NA,NA,NA,NA,0.04809429,0,0,1.38021124171161,NA,NA,6
4656,"spy",391,4.3,-0.0064207702149165,0.029562590415953,10,27,1.105795,0.2223924,0,2.59328606702046,1.04139268515822,1.44715803134222,3
4657,"squab",2,NA,-0.0018210437715023,-0.0133617683034011,5,13,3.40067121010864,3.39231742277876,0.321928094887362,0.477121254719662,0.778151250383644,1.14612803567824,5
4658,"squad",186,4.4,-0.0162204787528875,0.0073538323572379,6,9,3.40067121010864,2.93859945533586,0.321928094887362,2.2718416065365,0.845098040014257,1,5
4659,"squads",104,NA,0.0891969791872959,0.0656511582080836,6,5,3.400671,2.736966,0.3219281,2.02118929906994,0.845098040014257,0.778151250383644,6
4660,"squall",2,4,0.280930957157573,0.0634401008247792,3,10,4.51029570128314,0.0995356735509144,2.32192809488736,0.477121254719662,0.602059991327962,1.04139268515822,6
4661,"squalls",6,NA,0.280930957157573,0.064497003125453,2,6,4.51029570128314,0,2.32192809488736,0.845098040014257,0.477121254719662,0.845098040014257,7
4662,"square",1817,6.4,0.184743779760175,0.0574917044805335,4,12,0.04975304,0.07400058,0,3.25959387888595,0.698970004336019,1.11394335230684,6
4663,"squares",68,NA,0.17767259107335,0.0591666314458778,5,13,0.04975304,0,0,1.83884909073726,0.778151250383644,1.14612803567824,7
4664,"squash",35,5.3,-5.25768789384207e-05,0.0432003090764884,3,10,3.40067121010864,2.85798099512757,0.321928094887362,1.55630250076729,0.602059991327962,1.04139268515822,6
4665,"squash",35,5.3,-5.25768789384207e-05,0.0432003090764884,3,10,3.40067121010864,2.85798099512757,0.321928094887362,1.55630250076729,0.602059991327962,1.04139268515822,6
4666,"squat",39,4.5,0.0075555236614501,0.0175251576682873,4,14,3.40067121010864,3.32192809488736,0.321928094887362,1.60205999132796,0.698970004336019,1.17609125905568,5
4667,"squaw",2,3.9,0.0115829132129125,0.0527813814998767,5,7,0,0,0,0.477121254719662,0.778151250383644,0.903089986991944,5
4668,"squawk",15,3.6,0.0717322962047062,0.0630750155355416,4,9,0,0,0,1.20411998265592,0.698970004336019,1,6
4669,"squaws",1,NA,NA,NA,NA,NA,0,0,0,0.301029995663981,NA,NA,6
4670,"squeak",10,4.3,0.194622092076368,0.0841066891192687,3,11,0.2721575,0.1926451,0,1.04139268515822,0.602059991327962,1.07918124604762,6
4671,"squeal",25,3.1,0.153932618009024,0.122003823408665,2,10,0.2721575,0,0,1.41497334797082,0.477121254719662,1.04139268515822,6
4672,"squeeze",755,4.3,0.361567062092591,0.147384222512765,4,6,0.009522774,0,0,2.87852179550121,0.698970004336019,0.845098040014257,7
4673,"squelch",36,2.3,-0.0042056792640508,-0.0020785513151286,2,3,0.06730399,0,0,1.56820172406699,0.477121254719662,0.602059991327962,7
4674,"squib",0,NA,NA,NA,NA,NA,0.1385101,0,0,0,NA,NA,5
4675,"squid",63,6.4,0.0613773271582355,0.0213428369868967,4,15,0.1385101,0.0931094,0,1.80617997398389,0.698970004336019,1.20411998265592,5
4676,"squint",9,5.1,-0.0099569992700785,0.0170821685361839,4,5,0.1385101,0.0931094,0,1,0.698970004336019,0.778151250383644,6
4677,"squire",48,3.9,0.129420516248146,0.140437342111116,6,8,NA,NA,NA,1.69019608002851,0.845098040014257,0.954242509439325,6
4678,"squires",27,NA,0.0991135481853469,0.086897640959544,6,6,NA,NA,NA,1.44715803134222,0.845098040014257,0.845098040014257,7
4679,"squirm",18,4.7,0.0266837666160941,0.0928449348457474,4,5,0.03242148,0,0,1.27875360095283,0.698970004336019,0.778151250383644,6
4680,"squirt",24,4.8,0.0514934329020249,0.0419941880089697,4,6,0.03242148,0,0,1.39794000867204,0.698970004336019,0.845098040014257,6
4681,"stab",35,5.2,0.02657172726316,0.0402520586936877,11,12,0.275751354691359,0.144389909335175,0.142019004872428,1.55630250076729,1.07918124604762,1.11394335230684,4
4682,"stabs",17,NA,-0.0168118337716557,-0.0033243984510931,11,12,0.275751354691359,0.144389909335175,0.142019004872428,1.25527250510331,1.07918124604762,1.11394335230684,5
4683,"stack",211,4.2,0.0594157384204019,0.0510190523801342,15,26,0.275751354691359,0,0.142019004872428,2.32633586092875,1.20411998265592,1.43136376415899,5
4684,"stacked",143,NA,0.0217865845019184,0.0363095063106379,10,16,0.275751354691359,0,0.142019004872428,2.15836249209525,1.04139268515822,1.23044892137827,7
4685,"stacks",101,NA,0.0216189120834945,0.0112130128640445,11,26,0.275751354691359,0,0.142019004872428,2.00860017176192,1.07918124604762,1.43136376415899,6
4686,"staff",7575,4.6,0.222940032536684,0.13314636859476,3,12,0.275751354691359,0.222392421336448,0.142019004872428,3.87943996599522,0.602059991327962,1.11394335230684,5
4687,"staffs",402,NA,0.368239974912293,0.207768685217867,4,8,0.275751354691359,0.263034405833794,0.142019004872428,2.60530504614111,0.698970004336019,0.954242509439325,6
4688,"stag",17,5,0.0184605764957273,0.0252500869748074,13,13,0.275751354691359,0,0.142019004872428,1.25527250510331,1.14612803567824,1.14612803567824,4
4689,"stage",2753,6.1,0.116427457063165,0.0538702947810435,12,16,0.02936885,0,0,3.4399639359209,1.11394335230684,1.23044892137827,5
4690,"stags",4,NA,0.0114749854347127,0.0476836751152164,15,10,0.275751354691359,0,0.142019004872428,0.698970004336019,1.20411998265592,1.04139268515822,5
4691,"stain",50,5.5,0.0657767874090624,0.0371348265084666,11,27,0.1255309,0,0,1.70757017609794,1.07918124604762,1.44715803134222,5
4692,"stained",62,NA,0.0250790670097059,0.0770849073103845,3,12,0.1255309,0,0,1.79934054945358,0.602059991327962,1.11394335230684,7
4693,"stains",29,NA,0.108887675664021,0.0660643785451866,7,19,0.1255309,0,0,1.47712125471966,0.903089986991944,1.30102999566398,6
4694,"stair",10,6.1,0.0646275346265995,0.0333323642971292,6,19,0,0,0,1.04139268515822,0.845098040014257,1.30102999566398,5
4695,"stairs",90,NA,0.143226211043629,0.0340871444857455,5,21,0,0,0,1.95904139232109,0.778151250383644,1.34242268082221,6
4696,"stake",18370,5.4,0.0169694884201867,-0.0064245831137366,15,26,0.02936885,0,0,4.26413279716926,1.20411998265592,1.43136376415899,5
4697,"stakes",1391,NA,0.0554399247366061,0.0526573455786308,14,21,0.02936885,0,0,3.14363923527454,1.17609125905568,1.34242268082221,6
4698,"stale",64,3.3,-0.0112648581374214,-0.0008533297837156,17,27,0.02936885,0,0,1.81291335664286,1.25527250510331,1.44715803134222,5
4699,"stalk",31,4.5,0.0619192176864098,0.0214519033720475,8,18,0,0,0,1.50514997831991,0.954242509439325,1.27875360095283,5
4700,"stalked",43,NA,0.0021844171250446,0.0179307916639233,5,11,0,0,0,1.64345267648619,0.778151250383644,1.07918124604762,7
4701,"stalks",40,NA,NA,NA,NA,NA,0,0,0,1.61278385671974,NA,NA,6
4702,"stall",227,4.8,0.0897200884569382,0.0354213170374399,8,16,4.510296,0.09953567,3.415037,2.35793484700045,0.954242509439325,1.23044892137827,5
4703,"stalls",61,NA,0.119577174002014,0.0274300146258614,4,15,4.51029570128314,0,3.41503749927884,1.79239168949825,0.698970004336019,1.20411998265592,6
4704,"stamp",373,6.1,0.0697386194993422,0.0810648010731593,7,10,0.275751354691359,0.206450877467426,0.142019004872428,2.57287160220048,0.903089986991944,1.04139268515822,5
4705,"stamped",92,NA,-0.0032722498518641,0.046820098538323,7,8,0.275751354691359,0.137503523749935,0.142019004872428,1.96848294855394,0.903089986991944,0.954242509439325,7
4706,"stamps",278,NA,0.0842462571191887,0.097360391945586,8,8,0.275751354691359,0.169925001442312,0.142019004872428,2.4456042032736,0.954242509439325,0.954242509439325,6
