"word","uncond.surprisal","uncond.entropy","uncond.ig","coda.cond.surprisal","coda.cond.entropy","coda.coda.ig","onset.cond.surprisal","onset.cond.entropy","onset.cond.ig","gpc.word"
"grouse",0.7481928,1.746596,0.998403,0,0,0,0.7004397,0.9612366,0.2607969,"g_g_ r_r_ ou_aU_ s_s_ e_#_ "
"lout",0.7481928,1.746596,0.998403,0,0,0,0.5145732,1.15678,0.6422065,"l_l_ ou_aU_ t_t_ "
"lou",2.224631,1.746596,-0.478035,0.4150375,0.8112781,0.3962406,2.321928,1.15678,-1.165148,"l_l_ ou_u_ "
"bound",0.7481928,1.746596,0.998403,0.169925,0.5032583,0.3333333,0,0,0,"b_b_ ou_aU_ n_n_ d_d_ "
"flounced",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"f_f_ l_l_ ou_aU_ n_n_ c_s_ ed_t_ "
"spout",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"s_s_ p_p_ ou_aU_ t_t_ "
"fount",0.7481928,1.746596,0.998403,0.4150375,0.8112781,0.3962406,0.1926451,0.5435644,0.3509194,"f_f_ ou_aU_ n_n_ t_t_ "
"mount",0.7481928,1.746596,0.998403,0.4150375,0.8112781,0.3962406,0.7004397,1.238901,0.5384615,"m_m_ ou_aU_ n_n_ t_t_ "
"founds",0.7481928,1.746596,0.998403,0.1154772,0.3912436,0.2757663,0.1926451,0.5435644,0.3509194,"f_f_ ou_aU_ n_n_ d_d_ s_z_ "
"routs",0.7481928,1.746596,0.998403,0,0,0,1.099536,1.505823,0.4062874,"r_r_ ou_aU_ t_t_ s_s_ "
"rouge",2.224631,1.746596,-0.478035,1,1,0,1.584963,1.505823,-0.0791394,"r_r_ ou_u_ g_Z_ e_#_ "
"souped",2.224631,1.746596,-0.478035,0,0,0,1.321928,1.705587,0.3836592,"s_s_ ou_u_ p_p_ ed_t_ "
"douse",0.7481928,1.746596,0.998403,0,0,0,0.8073549,1.378783,0.5714286,"d_d_ ou_aU_ s_s_ e_#_ "
"group",2.224631,1.746596,-0.478035,0,0,0,1.378512,0.9612366,-0.417275,"g_g_ r_r_ ou_u_ p_p_ "
"ounce",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"ou_aU_ n_n_ c_s_ e_#_ "
"joust",0.7481928,1.746596,0.998403,0.5849625,0.9182958,0.3333333,1,1,0,"j_dZ_ ou_aU_ s_s_ t_t_ "
"could",5.16323,1.746596,-3.416634,0.7369656,1.370951,0.633985,3.459432,1.789929,-1.669503,"c_k_ ou_U_ l_#_ d_d_ "
"youths",2.224631,1.746596,-0.478035,0.5849625,0.9182958,0.3333333,0.6520767,1.240671,0.5885938,"y_j_ ou_u_ th_D_ s_z_ "
"youth's",2.224631,1.746596,-0.478035,0.5849625,0.9182958,0.3333333,0.6520767,1.240671,0.5885938,"y_j_ ou_u_ th_T_ s_s_ "
"sprout",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"s_s_ p_p_ r_r_ ou_aU_ t_t_ "
"route",2.224631,1.746596,-0.478035,0,0,0,1.584963,1.505823,-0.0791394,"r_r_ ou_u_ t_t_ e_#_ "
"pound",0.7481928,1.746596,0.998403,0.169925,0.5032583,0.3333333,0.2895066,0.6840384,0.3945318,"p_p_ ou_aU_ n_n_ d_d_ "
"shout",0.7481928,1.746596,0.998403,0,0,0,1,1,0,"sh_S_ ou_aU_ t_t_ "
"doubts",0.7481928,1.746596,0.998403,0,0,0,0.8073549,1.378783,0.5714286,"d_d_ ou_aU_ b_#_ t_t_ s_s_ "
"stout",0.7481928,1.746596,0.998403,0,0,0,1,1,0,"s_s_ t_t_ ou_aU_ t_t_ "
"sprouts",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"s_s_ p_p_ r_r_ ou_aU_ t_t_ s_s_ "
"douche",2.224631,1.746596,-0.478035,0,0,0,2.807355,1.378783,-1.428571,"d_d_ ou_u_ ch_S_ e_#_ "
"touch",3.500265,1.746596,-1.753669,3,0.5435644,-2.456436,0.8073549,1.378783,0.5714286,"t_t_ ou_V_ ch_tS_ "
"soused",0.7481928,1.746596,0.998403,0,0,0,1.321928,1.705587,0.3836592,"s_s_ ou_aU_ s_s_ ed_t_ "
"nouned",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"n_n_ ou_aU_ n_n_ ed_d_ "
"flouts",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"f_f_ l_l_ ou_aU_ t_t_ s_s_ "
"mound",0.7481928,1.746596,0.998403,0.169925,0.5032583,0.3333333,0.7004397,1.238901,0.5384615,"m_m_ ou_aU_ n_n_ d_d_ "
"grout",0.7481928,1.746596,0.998403,0,0,0,0.7004397,0.9612366,0.2607969,"g_g_ r_r_ ou_aU_ t_t_ "
"lough",7.748193,1.746596,-6.001597,3.321928,1.295462,-2.026466,3.321928,1.15678,-2.165148,"l_l_ ou_A_ gh_k_ "
"spouse",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"s_s_ p_p_ ou_aU_ s_s_ e_#_ "
"pounds",0.7481928,1.746596,0.998403,0.1154772,0.3912436,0.2757663,0.2895066,0.6840384,0.3945318,"p_p_ ou_aU_ n_n_ d_d_ s_z_ "
"shouldst",5.16323,1.746596,-3.416634,0,0,0,1,1,0,"sh_S_ ou_U_ l_#_ d_d_ s_s_ t_t_ "
"moult",4.578268,1.746596,-2.831672,0,0,0,1.70044,1.238901,-0.4615385,"m_m_ ou_ou_ l_5_ t_t_ "
"doubt",0.7481928,1.746596,0.998403,0,0,0,0.8073549,1.378783,0.5714286,"d_d_ ou_aU_ b_#_ t_t_ "
"nouns",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"n_n_ ou_aU_ n_n_ s_z_ "
"youth",2.224631,1.746596,-0.478035,1.584963,0.9182958,-0.6666667,0.6520767,1.240671,0.5885938,"y_j_ ou_u_ th_T_ "
"trouts",0.7481928,1.746596,0.998403,0,0,0,1,1.5,0.5,"t_t_ r_r_ ou_aU_ t_t_ s_s_ "
"trout",0.7481928,1.746596,0.998403,0,0,0,1,1.5,0.5,"t_t_ r_r_ ou_aU_ t_t_ "
"mounds",0.7481928,1.746596,0.998403,0.1154772,0.3912436,0.2757663,0.7004397,1.238901,0.5384615,"m_m_ ou_aU_ n_n_ d_d_ s_z_ "
"ghoul",2.224631,1.746596,-0.478035,2,1.5,-0.5,0,0,0,"gh_g_ ou_u_ l_5_ "
"rouged",2.224631,1.746596,-0.478035,1,1,0,1.584963,1.505823,-0.0791394,"r_r_ ou_u_ g_Z_ ed_d_ "
"bounds",0.7481928,1.746596,0.998403,0.1154772,0.3912436,0.2757663,0,0,0,"b_b_ ou_aU_ n_n_ d_d_ s_z_ "
"found",0.7481928,1.746596,0.998403,0.169925,0.5032583,0.3333333,0.1926451,0.5435644,0.3509194,"f_f_ ou_aU_ n_n_ d_d_ "
"foulkes",4.578268,1.746596,-2.831672,0,0,0,3,0.5435644,-2.456436,"f_f_ ou_ou_ l_#_ k_k_ e_#_ s_s_ "
"zounds",0.7481928,1.746596,0.998403,0.1154772,0.3912436,0.2757663,0,0,0,"z_z_ ou_aU_ n_n_ d_d_ s_z_ "
"moulds",4.578268,1.746596,-2.831672,1.584963,0.9182958,-0.6666667,1.70044,1.238901,-0.4615385,"m_m_ ou_ou_ l_5_ d_d_ s_z_ "
"grouped",2.224631,1.746596,-0.478035,0,0,0,1.378512,0.9612366,-0.417275,"g_g_ r_r_ ou_u_ p_p_ ed_t_ "
"pouts",0.7481928,1.746596,0.998403,0,0,0,0.2895066,0.6840384,0.3945318,"p_p_ ou_aU_ t_t_ s_s_ "
"lou's",2.224631,1.746596,-0.478035,0.5849625,0.9182958,0.3333333,2.321928,1.15678,-1.165148,"l_l_ ou_u_ s_z_ "
"flounce",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"f_f_ l_l_ ou_aU_ n_n_ c_s_ e_#_ "
"touche",2.224631,1.746596,-0.478035,0,0,0,2.807355,1.378783,-1.428571,"t_t_ ou_u_ ch_S_ e_#_ "
"groused",0.7481928,1.746596,0.998403,0,0,0,0.7004397,0.9612366,0.2607969,"g_g_ r_r_ ou_aU_ s_s_ ed_t_ "
"fouls",0.7481928,1.746596,0.998403,1.584963,1.584963,-2.220446e-16,0.1926451,0.5435644,0.3509194,"f_f_ ou_aU_ l_5_ s_z_ "
"bounced",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"b_b_ ou_aU_ n_n_ c_s_ ed_t_ "
"stoup",2.224631,1.746596,-0.478035,0,0,0,1,1,0,"s_s_ t_t_ ou_u_ p_p_ "
"should",5.16323,1.746596,-3.416634,0.7369656,1.370951,0.633985,1,1,0,"sh_S_ ou_U_ l_#_ d_d_ "
"foul",0.7481928,1.746596,0.998403,2,1.5,-0.5,0.1926451,0.5435644,0.3509194,"f_f_ ou_aU_ l_5_ "
"jousts",0.7481928,1.746596,0.998403,0,0,0,1,1,0,"j_dZ_ ou_aU_ s_s_ t_t_ s_s_ "
"pout",0.7481928,1.746596,0.998403,0,0,0,0.2895066,0.6840384,0.3945318,"p_p_ ou_aU_ t_t_ "
"ouch",0.7481928,1.746596,0.998403,0.1926451,0.5435644,0.3509194,0,0,0,"ou_aU_ ch_tS_ "
"mould",4.578268,1.746596,-2.831672,2.321928,1.370951,-0.9509775,1.70044,1.238901,-0.4615385,"m_m_ ou_ou_ l_5_ d_d_ "
"ghouls",2.224631,1.746596,-0.478035,1.584963,1.584963,-2.220446e-16,0,0,0,"gh_g_ ou_u_ l_5_ s_z_ "
"south",0.7481928,1.746596,0.998403,0.5849625,0.9182958,0.3333333,1.321928,1.705587,0.3836592,"s_s_ ou_aU_ th_T_ "
"wounds",2.224631,1.746596,-0.478035,3.70044,0.3912436,-3.309196,1,1,0,"w_w_ ou_u_ n_n_ d_d_ s_z_ "
"fouled",0.7481928,1.746596,0.998403,0,0,0,0.1926451,0.5435644,0.3509194,"f_f_ ou_aU_ l_5_ ed_d_ "
"groupe",2.224631,1.746596,-0.478035,0,0,0,1.378512,0.9612366,-0.417275,"g_g_ r_r_ ou_u_ p_p_ e_#_ "
"troupe",2.224631,1.746596,-0.478035,0,0,0,2,1.5,-0.5,"t_t_ r_r_ ou_u_ p_p_ e_#_ "
"couched",0.7481928,1.746596,0.998403,0.2223924,0.5916728,0.3692804,1.137504,1.789929,0.6524256,"c_k_ ou_aU_ ch_tS_ ed_t_ "
"troupes",2.224631,1.746596,-0.478035,0,0,0,2,1.5,-0.5,"t_t_ r_r_ ou_u_ p_p_ e_#_ s_s_ "
"loud",0.7481928,1.746596,0.998403,0.2630344,0.6500224,0.386988,0.5145732,1.15678,0.6422065,"l_l_ ou_aU_ d_d_ "
"bounce",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"b_b_ ou_aU_ n_n_ c_s_ e_#_ "
"louts",0.7481928,1.746596,0.998403,0,0,0,0.5145732,1.15678,0.6422065,"l_l_ ou_aU_ t_t_ s_s_ "
"group's",2.224631,1.746596,-0.478035,0,0,0,1.378512,0.9612366,-0.417275,"g_g_ r_r_ ou_u_ p_p_ s_s_ "
"grounds",0.7481928,1.746596,0.998403,0.1154772,0.3912436,0.2757663,0.7004397,0.9612366,0.2607969,"g_g_ r_r_ ou_aU_ n_n_ d_d_ s_z_ "
"vought",1.06413,1.720948,0.6568177,0.1520031,0.4689956,0.3169925,0,0,0,"v_v_ ough_O_ t_t_ "
