D_word,O-S consistency,P-S consistency,O-S consistency: GLoVe,P-S consistency: GLoVe,orth neighborhood size,phon neighborhood size
indexes,0.285006335149098,NA,0.134189254806188,0.0600006573292314,4,1
india,0.666533602417367,0.213392075509471,0.275478087032621,0.204006362528114,4,7
indian,0.513831233675497,0.371606605250213,0.357408361223044,0.313607277540138,4,7
indiana,0.154454172144217,NA,0.0828121841061314,NA,2,0
indians,0.491603490040235,0.814770291860076,0.219547583027341,0.153675290389726,5,5
indicate,0.299445349379458,0.192452938526685,0.528130037696393,0.400376885381682,3,4
indicated,0.250185264118848,-0.00132950723640307,0.425080546866723,0.161375240123732,4,4
indicates,0.409582065854018,0.445024268772589,0.463308073251506,0.383797436431709,3,3
indicating,-0.0383823101631449,0.0547613219895266,-0.026026027413301,0.0309483692935276,2,2
indication,0.109604603320298,0.050467985249056,0.481616439914239,0.268247329815982,2,5
indications,0.138081580810919,0.0509756637734043,0.776915699982488,0.231894488870705,2,5
indicator,0.549886797782574,0.549886797782574,0.35713771584544,0.35713771584544,3,3
indicators,0.549886797782574,0.549886797782574,0.732378511720618,0.732378511720618,3,3
indices,NA,NA,-0.0549236039334333,NA,3,0
indict,-0.0655291392570126,NA,0.338506013724459,0.229619653880982,2,2
indicted,0.0654476079860056,-0.0473540155182032,0.156669451838529,0.0119069179060496,3,2
indictment,NA,NA,0.729504990244972,0.729504990244972,1,2
indictments,NA,NA,0.729504990244972,0.729504990244972,2,1
indies,NA,0.1054705844161,0.0213142335849604,0.0302718639501231,4,10
indigence,NA,NA,0.216572323345705,NA,2,1
indigent,0.302117917211786,0.302117917211786,0.314018861232183,0.519168784939594,2,1
indignities,NA,0.0197036798256285,NA,0.591579035026943,0,1
indignity,NA,0.0197036798256285,NA,0.591579035026943,1,1
indigo,-0.00317110285726,-0.00317110285726,0.0625588952166447,0.0625588952166447,2,3
indiscreet,0.00492632809266385,NA,0.309368296094091,NA,1,0
indiscretion,NA,NA,0.674585697238515,0.674585697238515,1,1
indispensable,0.00729789660375972,NA,0.589047274762231,NA,2,0
indispensible,0.00729789660375972,NA,0.589047274762231,NA,1,0
indisposed,NA,NA,1,1,3,3
indisputable,-0.0492253331739099,NA,0.490390628299386,0.501637113387958,2,1
indisputably,-0.0492253331739099,NA,0.479144143210813,NA,2,1
indistinguishable,-0.0181202477927283,-0.0866379037922338,NA,NA,2,1
individual,0.674350113522973,0.493535520960286,0.662751672812575,0.600913841910455,1,3
individualism,0.593745644425802,NA,0.319947579190033,NA,2,0
individualist,0.706560159685679,0.819374674945556,0.353958718789798,0.475252254307753,3,1
individualists,0.819374674945556,0.819374674945556,0.475252254307753,0.475252254307753,2,1
individualize,0.441050958832074,0.217211958556351,0.387104066312907,0.25273263303499,3,4
individualized,0.229660425640728,0.665770803977901,0.430494000398099,0.430494000398099,3,2
individually,NA,0.220031639752741,NA,0.466647280282932,0,3
individuals,0.674350113522973,0.277614969808794,0.662751672812575,0.241566915163703,2,4
indoctrinate,0.00219280476304765,-0.0327994877387188,0.487273935204471,NA,2,1
indoctrinated,-0.0120914765415466,NA,0.487273935204471,NA,2,0
indolence,0.0218626992807737,0.0218626992807737,0.33372028669382,0.33372028669382,2,2
indolent,0.114666725409005,0.108214978232443,0.370081480362305,0.370081480362305,1,2
indolently,0.092787513214703,0.092787513214703,NA,NA,1,1
indonesia,0.630264974436903,0.630264974436903,0.747255488769543,0.747255488769543,1,2
indonesian,0.485011779419567,0.485011779419567,0.646606744375473,0.646606744375473,2,3
indoor,0.361989278646333,0.087257364881013,0.534469845666847,0.0901535902686429,1,7
indoors,0.361989278646333,0.223275943743546,0.534469845666847,0.0856327982954338,1,5
indubitable,0.00987830905868983,NA,0.287599053558877,NA,1,0
induce,0.13027498310604,0.0486692145525145,0.410241779995592,0.426664839299109,4,4
induced,0.214571132934721,0.0821194358220076,0.347561602157773,0.259967654282387,4,3
inducement,0.0699831201247097,0.0699831201247097,0.519501044546781,0.519501044546781,1,1
