,index,model,residual,max_acc,k,code_name,cond,hidden_units,cleanup_units,p_noise,learning_rate
3530,0,EQ2,0.032807826833331714,0.9732389946351209,20.13255708326367,64195516,HF_INC,200,15,3,0.00999999999999998
3531,0,EQ2,0.05856051874136623,0.947817833309423,12.241452106246847,64195516,LF_INC,200,15,3,0.00999999999999998
3532,0,EQ2,0.12787338922017086,0.9559992877215926,22.67167105731836,64195516,NW_UN,200,15,3,0.00999999999999998
3533,0,EQ2,0.0430501742595842,0.8879240866057075,18.873525229772024,64195516,NW_AMB,200,15,3,0.00999999999999998
3534,0,EQ2,0.03830063402410752,0.9999999999999999,28.923013388248716,64195521,HF_CON,250,15,3,0.00999999999999998
3535,0,EQ2,0.04111276818913629,0.9999999999999999,26.96502601879111,64195521,LF_CON,250,15,3,0.00999999999999998
3536,0,EQ2,0.017746377176755604,0.9935569607747141,22.775786823237063,64195521,HF_INC,250,15,3,0.00999999999999998
3537,0,EQ2,0.022663610911028895,0.9770446564727752,11.177087902591143,64195521,LF_INC,250,15,3,0.00999999999999998
3538,0,EQ2,0.0732748500903874,0.9468279064714494,25.489977979535592,64195521,NW_UN,250,15,3,0.00999999999999998
3539,0,EQ2,0.0691584806271796,0.8166116894898435,31.68633950145739,64195521,NW_AMB,250,15,3,0.00999999999999998
3540,0,EQ2,0.16557415233462844,0.95991429137199,6.935002860173368,64195526,HF_CON,50,20,3,0.00999999999999998
3541,0,EQ2,0.12289642479169464,0.9219398345029624,6.7191296490369865,64195526,LF_CON,50,20,3,0.00999999999999998
3542,0,EQ2,0.10450668056140121,0.8688915321630182,6.551617080928025,64195526,HF_INC,50,20,3,0.00999999999999998
3543,0,EQ2,0.060459823595966036,0.7198965605531062,4.170194804563061,64195526,LF_INC,50,20,3,0.00999999999999998
3544,0,EQ2,0.14137996359122068,0.7834091461960107,5.064261542066417,64195526,NW_UN,50,20,3,0.00999999999999998
3545,0,EQ2,0.08800956573520839,0.676165255538214,6.461439688538406,64195526,NW_AMB,50,20,3,0.00999999999999998
3546,0,EQ2,0.028582881821638862,0.9848830502537819,20.042403414232172,64195531,HF_CON,100,20,3,0.00999999999999998
3547,0,EQ2,0.08580990766223164,0.9999999999999999,18.197257253104063,64195531,LF_CON,100,20,3,0.00999999999999998
3548,0,EQ2,0.023806150420551637,0.9748182783642573,12.919975955227432,64195531,HF_INC,100,20,3,0.00999999999999998
3549,0,EQ2,0.023366725563845555,0.9028321845568196,7.473854855822526,64195531,LF_INC,100,20,3,0.00999999999999998
3550,0,EQ2,0.1395411520247659,0.9065298445862651,15.070304138090428,64195531,NW_UN,100,20,3,0.00999999999999998
3551,0,EQ2,0.06012059653415436,0.787156140961884,17.0419885057455,64195531,NW_AMB,100,20,3,0.00999999999999998
3552,0,EQ2,0.07084756401368436,0.9864602916028903,28.347296984020826,64195536,HF_CON,150,20,3,0.00999999999999998
3553,0,EQ2,0.08452601597768489,0.9999999999999999,22.372600160389414,64195536,LF_CON,150,20,3,0.00999999999999998
3554,0,EQ2,0.014334547380207282,0.9977369420097137,17.729749656607677,64195536,HF_INC,150,20,3,0.00999999999999998
3555,0,EQ2,0.09064447110653967,0.9449279911842536,10.020492865185835,64195536,LF_INC,150,20,3,0.00999999999999998
3556,0,EQ2,0.056061229475062695,0.9242422636874723,18.498200555078693,64195536,NW_UN,150,20,3,0.00999999999999998
3557,0,EQ2,0.11264480969609254,0.8540866022533675,23.353523732344428,64195536,NW_AMB,150,20,3,0.00999999999999998
3558,0,EQ2,0.04595896380926003,0.9999999999999999,27.842858119438212,64195541,HF_CON,200,20,3,0.00999999999999998
3559,0,EQ2,0.0812565463116883,0.9999999999999999,28.542866985227114,64195541,LF_CON,200,20,3,0.00999999999999998
3560,0,EQ2,0.04498406828638708,0.9999999999999999,20.59461935704139,64195541,HF_INC,200,20,3,0.00999999999999998
3561,0,EQ2,0.035607490898349976,0.9663964689012456,9.373827693848531,64195541,LF_INC,200,20,3,0.00999999999999998
3562,0,EQ2,0.0949739519591842,0.9149333040281641,26.728245006882553,64195541,NW_UN,200,20,3,0.00999999999999998
3563,0,EQ2,0.03380927510273267,0.7814792981429589,25.73014007615488,64195541,NW_AMB,200,20,3,0.00999999999999998
3564,0,EQ2,0.07018632030009148,0.9999999999999999,28.06038691721839,64195546,HF_CON,250,20,3,0.00999999999999998
3565,0,EQ2,0.03311470572159869,0.9999999999999999,26.95756945046745,64195546,LF_CON,250,20,3,0.00999999999999998
3566,0,EQ2,0.019624144921975697,0.9913751385864332,24.20536488475039,64195546,HF_INC,250,20,3,0.00999999999999998
3567,0,EQ2,0.02965966759449833,0.9730101592145706,12.006758875679829,64195546,LF_INC,250,20,3,0.00999999999999998
3568,0,EQ2,0.0757126537218741,0.937310716535799,27.388278392291145,64195546,NW_UN,250,20,3,0.00999999999999998
3569,0,EQ2,0.07073444095533057,0.9140891144020851,21.698034178424997,64195546,NW_AMB,250,20,3,0.00999999999999998
3570,0,EQ2,0.17741427078305474,0.9685654895657011,5.722986913495969,64195551,HF_CON,50,25,3,0.00999999999999998
