,index,model,adj_residual,max_acc,k,x0,code_name,cond,hidden_units,cleanup_units,p_noise,learning_rate
125,0,EQ1,0.029883465717883622,0.870966027598815,13.923162082956617,0.029470466923372077,64195180,NW_AMB,50,25,0,0.0020000000000000013
126,0,EQ1,0.04169029876275407,0.9787357731267189,9.613381854669855,0.021088899574382296,64195185,HF_CON,100,25,0,0.0020000000000000013
127,0,EQ1,0.012067302478100093,0.9689792642270738,9.874110696442367,0.011213065631524048,64195185,LF_CON,100,25,0,0.0020000000000000013
128,0,EQ1,0.024904191573227628,0.9350365311887407,5.882469749839008,4.813296363524194e-11,64195185,HF_INC,100,25,0,0.0020000000000000013
129,0,EQ1,0.06758500921888472,0.6318585838068934,6.692146177470681,1.6101175952120542e-20,64195185,LF_INC,100,25,0,0.0020000000000000013
130,0,EQ1,0.059685076235455194,0.8832571239888545,12.922259516906818,0.023900477651052545,64195185,NW_UN,100,25,0,0.0020000000000000013
131,0,EQ1,0.050023517364890725,0.8555332185271535,16.605459672377965,0.02461107436805425,64195185,NW_AMB,100,25,0,0.0020000000000000013
132,0,EQ1,0.007627605190107876,0.9776105017867013,10.101172000766867,0.017727525667230334,64195190,HF_CON,150,25,0,0.0020000000000000013
133,0,EQ1,0.019732928312275237,0.9859399390867823,10.702485442858702,0.008599190535986847,64195190,LF_CON,150,25,0,0.0020000000000000013
134,0,EQ1,0.023146701036186823,0.970526253369658,6.062415110031071,3.5621178904242383e-19,64195190,HF_INC,150,25,0,0.0020000000000000013
135,0,EQ1,0.03969733827117538,0.7198044496447054,5.315199076294331,3.270805705159502e-16,64195190,LF_INC,150,25,0,0.0020000000000000013
136,0,EQ1,0.030754967153155708,0.8854265916908756,12.78715851249595,0.019505867575714937,64195190,NW_UN,150,25,0,0.0020000000000000013
137,0,EQ1,0.0686852473531423,0.7988977191066245,19.35959175655598,0.019913044256950375,64195190,NW_AMB,150,25,0,0.0020000000000000013
138,0,EQ1,0.01707778878691904,0.9754485009764678,10.787551224038152,0.01626158174489666,64195195,HF_CON,200,25,0,0.0020000000000000013
139,0,EQ1,0.019515373919352954,0.9973200701313597,11.397317262370908,0.008262979883690428,64195195,LF_CON,200,25,0,0.0020000000000000013
140,0,EQ1,0.05393367768763015,0.972038673972749,5.898077024052846,5.83075547256293e-15,64195195,HF_INC,200,25,0,0.0020000000000000013
141,0,EQ1,0.07886218878041719,0.7042284559058598,5.7583290296559,8.454736277563692e-20,64195195,LF_INC,200,25,0,0.0020000000000000013
