,word,img,n_features,wf
1583,pad,4.7,6.0,171.0
1584,page,5.9,7.0,3246.0
1585,pail,5.3,9.0,19.0
1586,pain,4.3,6.0,932.0
1587,paint,6.3,3.0,670.0
1588,pair,4.3,4.0,650.0
1589,pal,4.6,9.0,71.0
1590,pale,4.2,5.0,182.0
1591,pall,1.9,8.0,157.0
1592,palm,6.7,6.0,598.0
1593,pan,6.3,8.0,2920.0
1594,pane,4.2,5.0,5.0
1595,pang,2.5,5.0,14.0
1596,pant,4.3,10.0,9.0
1597,pants,6.8,,79.0
1598,pants,6.8,,79.0
1599,pants,6.8,,79.0
1600,pap,2.8,6.0,236.0
1601,par,2.3,6.0,2091.0
1602,pare,2.1,5.0,234.0
1603,park,6.5,7.0,3292.0
1604,part,3.3,3.0,24504.0
1605,pass,4.1,5.0,2258.0
1606,past,2.7,3.0,19361.0
1607,paste,5.4,5.0,57.0
1608,pat,4.4,5.0,711.0
1609,patch,5.4,8.0,465.0
1610,path,5.5,4.0,866.0
1611,paunch,1.7,7.0,4.0
1612,pause,2.7,5.0,253.0
1613,pave,4.5,5.0,171.0
1614,paw,6.4,10.0,20.0
1615,pawn,5.0,7.0,86.0
1616,pay,4.3,5.0,21327.0
1617,pea,6.8,8.0,15.0
1618,peace,3.6,3.0,3552.0
1619,peach,6.9,21.0,258.0
1620,peak,4.8,4.0,1769.0
1621,peal,4.7,4.0,2.0
1622,pear,6.0,9.0,39.0
1623,pearl,6.4,8.0,198.0
1624,peat,2.2,5.0,697.0
1625,peck,4.2,6.0,225.0
1626,peek,4.0,3.0,75.0
1627,peel,5.4,6.0,38.0
1628,peep,4.2,5.0,26.0
1629,peer,3.9,4.0,258.0
1630,peeve,2.0,5.0,5.0
1631,peg,5.1,13.0,96.0
1632,pelt,3.5,9.0,7.0
1633,pen,6.6,8.0,308.0
1634,perch,4.7,4.0,54.0
1635,perk,2.8,8.0,77.0
1636,pert,2.0,6.0,26.0
1637,pest,5.0,10.0,71.0
1638,pet,6.4,8.0,505.0
1639,pew,4.2,11.0,14.0
1640,phase,3.1,5.0,1431.0
1641,phone,6.6,7.0,4578.0
1642,phrase,3.0,10.0,430.0
1643,pick,3.8,5.0,1905.0
1644,pie,6.7,8.0,326.0
1645,piece,3.8,5.0,1850.0
1646,pier,6.2,9.0,220.0
1647,pierce,5.0,7.0,554.0
1648,pig,6.8,28.0,200.0
1649,pike,4.2,14.0,91.0
1650,pile,4.8,6.0,299.0
1651,pill,6.8,4.0,1330.0
1652,pimp,5.6,12.0,18.0
1653,pin,6.0,9.0,219.0
1654,pinch,4.7,5.0,160.0
1655,pine,6.4,19.0,207.0
1656,ping,3.1,6.0,48.0
1657,pink,5.4,6.0,414.0
1658,pint,5.2,8.0,49.0
1659,pipe,6.3,10.0,638.0
1660,pit,5.2,6.0,759.0
1661,pitch,4.9,6.0,644.0
1662,pith,1.9,6.0,10.0
1663,place,3.7,6.0,9034.0
1664,plague,4.4,6.0,167.0
1665,plaid,5.7,8.0,39.0
1666,plain,3.5,7.0,593.0
1667,plan,2.8,5.0,27353.0
1668,plane,6.8,29.0,2252.0
1669,plank,4.9,7.0,66.0
1670,plant,6.3,10.0,13641.0
1671,plaque,5.1,8.0,104.0
1672,plate,6.4,7.0,428.0
1673,play,4.5,5.0,5077.0
1674,plea,2.9,3.0,813.0
1675,plead,3.7,10.0,471.0
1676,please,2.4,4.0,539.0
1677,pleat,2.9,6.0,0.0
1678,pled,2.8,11.0,11.0
1679,pledge,3.7,6.0,848.0
1680,plight,2.0,3.0,321.0
1681,plod,1.8,6.0,9.0
1682,plop,3.0,6.0,14.0
1683,plot,3.2,9.0,549.0
1684,plow,5.6,5.0,90.0
1685,ploy,2.1,7.0,250.0
1686,pluck,4.1,6.0,36.0
1687,plug,4.9,11.0,322.0
1688,plum,6.4,23.0,155.0
1689,plume,3.4,6.0,24.0
1690,plump,4.3,6.0,57.0
1691,plunge,3.7,7.0,1841.0
1692,plunk,2.2,8.0,24.0
1693,plus,3.0,7.0,5219.0
1694,plush,3.2,8.0,82.0
1695,ply,2.0,5.0,104.0
1696,poach,3.9,7.0,6.0
1697,pod,4.0,8.0,13.0
1698,point,5.2,8.0,14445.0
1699,poise,3.2,5.0,12.0
1700,poke,4.5,8.0,72.0
1701,pole,5.8,7.0,219.0
1702,poll,3.7,3.0,1615.0
1703,pomp,1.7,6.0,17.0
1704,pond,6.5,6.0,116.0
1705,pooch,5.1,5.0,10.0
1706,poof,3.3,11.0,18.0
1707,pool,6.7,5.0,1326.0
1708,poop,6.3,9.0,9.0
1709,poor,4.0,5.0,4247.0
1710,pop,6.1,8.0,710.0
1711,pope,6.4,10.0,558.0
1712,porch,6.8,9.0,65.0
1713,pork,6.4,7.0,957.0
1714,port,4.3,5.0,1049.0
1715,pose,3.6,3.0,722.0
1716,posh,1.8,7.0,110.0
1717,post,5.4,5.0,9744.0
1718,pot,6.2,7.0,287.0
1719,pouch,5.7,7.0,22.0
1720,pounce,4.4,7.0,28.0
1721,pound,4.1,6.0,3501.0
1722,pour,4.9,4.0,217.0
1723,pout,4.4,9.0,4.0
1724,pox,2.7,12.0,16.0
1725,praise,4.1,5.0,537.0
1726,prance,3.7,5.0,4.0
1727,prank,3.9,4.0,24.0
1728,pray,5.0,5.0,102.0
1729,prayer,5.2,3.0,251.0
1730,preach,4.6,7.0,60.0
1731,press,4.8,4.0,6238.0
1732,prey,4.3,9.0,173.0
1733,price,3.6,7.0,39893.0
1734,prick,3.9,7.0,8.0
1735,pride,2.8,3.0,710.0
1736,priest,6.3,10.0,317.0
1737,prim,2.1,5.0,19.0
1738,prime,3.1,5.0,7209.0
1739,primp,3.8,5.0,2.0
1740,prince,6.4,9.0,593.0
1741,print,5.3,4.0,1022.0
1742,prize,5.5,5.0,882.0
1743,pro,3.1,10.0,2092.0
1744,probe,4.0,3.0,1040.0
1745,prod,3.3,6.0,134.0
1746,prom,5.8,7.0,23.0
1747,prompt,2.5,5.0,811.0
1748,prone,2.2,6.0,291.0
1749,prong,4.4,10.0,5.0
1750,proof,3.1,5.0,795.0
1751,prop,4.2,10.0,476.0
1752,prose,2.1,7.0,157.0
1753,proud,2.9,6.0,565.0
1754,prove,2.4,4.0,2458.0
1755,prow,2.6,8.0,1.0
1756,prowl,4.5,7.0,59.0
1757,prude,2.7,10.0,6.0
1758,prune,5.7,9.0,42.0
1759,pry,3.5,4.0,40.0
1760,psalm,4.3,9.0,13.0
1761,pub,5.6,29.0,93.0
1762,puck,4.8,5.0,29.0
1763,puff,4.3,6.0,65.0
1764,pug,4.1,26.0,4.0
1765,puke,5.7,10.0,1.0
1766,pull,4.1,5.0,1259.0
1767,pulp,4.6,6.0,876.0
1768,pulse,4.7,4.0,95.0
1769,pump,4.8,8.0,485.0
1770,pun,2.6,7.0,20.0
1771,punch,5.0,7.0,271.0
1772,punk,4.3,12.0,63.0
1773,punt,3.9,7.0,92.0
1774,pup,6.0,11.0,2.0
1775,pure,3.7,5.0,600.0
1776,purge,3.6,6.0,109.0
1777,purr,4.6,6.0,3.0
1778,purse,6.5,7.0,163.0
1779,push,4.1,5.0,3251.0
1780,put,2.2,,6819.0
1781,put,2.2,,6819.0
1782,putt,4.0,7.0,44.0
1783,pyre,2.4,4.0,3.0
1784,quack,4.3,15.0,27.0
1785,quad,3.2,10.0,53.0
1786,quail,5.7,16.0,33.0
1787,quaint,2.4,5.0,78.0
1788,quake,4.9,4.0,188.0
1789,qualm,1.8,5.0,3.0
1790,quart,5.0,8.0,14.0
1791,quartz,5.0,5.0,25.0
1792,quay,1.9,13.0,0.0
1793,queen,6.6,23.0,440.0
1794,queer,4.0,5.0,1.0
1795,quell,2.0,8.0,242.0
1796,quench,3.3,8.0,4.0
1797,quest,4.0,6.0,397.0
1798,queue,1.5,6.0,29.0
1799,quick,2.9,9.0,1993.0
1800,quill,4.9,9.0,19.0
1801,quilt,6.7,5.0,59.0
1802,quip,1.8,8.0,27.0
1803,quirk,2.6,5.0,43.0
1804,quit,2.9,,598.5
1805,quit,2.9,,598.5
1806,quite,2.5,9.0,3513.0
1807,quiz,4.8,2.0,65.0
1808,quote,3.9,7.0,379.0
1809,race,5.1,3.0,2855.0
1810,rack,5.3,11.0,94.0
1811,raft,6.0,4.0,115.0
1812,rag,6.3,8.0,39.0
1813,rage,3.6,5.0,228.0
1814,raid,3.4,7.0,446.0
1815,rail,5.6,9.0,1331.0
1816,rain,6.3,8.0,1038.0
1817,raise,4.0,5.0,8333.0
1818,rake,6.2,8.0,56.0
1819,ram,5.3,7.0,153.0
1820,ramp,5.5,8.0,72.0
1821,ran,4.3,7.0,2226.0
1822,ranch,5.8,10.0,332.0
1823,range,3.5,7.0,7978.0
1824,rank,3.4,5.0,821.0
1825,rant,2.6,7.0,4.0
1826,rap,4.3,7.0,142.0
1827,rape,4.8,4.0,215.0
1828,rapt,2.4,5.0,13.0
1829,rare,2.5,6.0,1286.0
1830,rash,5.5,6.0,249.0
1831,rasp,2.8,8.0,1.0
1832,rat,6.8,22.0,155.0
1833,rate,2.6,8.0,34080.0
1834,rave,3.9,6.0,44.0
1835,raw,4.3,7.0,1422.0
1836,ray,4.3,9.0,803.0
1837,rays,4.2,10.0,174.0
1838,reach,4.3,4.0,4163.0
1839,realm,2.7,5.0,171.0
1840,ream,2.2,5.0,4.0
1841,reap,3.0,4.0,406.0
1842,rear,4.5,4.0,483.0
1843,red,6.0,,1464.5
1844,red,6.0,,1464.5
1845,reed,3.9,13.0,733.0
1846,reef,4.3,8.0,48.0
1847,reek,3.0,10.0,7.0
1848,reel,5.0,6.0,61.0
1849,reign,2.8,4.0,180.0
1850,rein,3.7,7.0,242.0
1851,rend,1.6,8.0,1.0
1852,rent,4.0,9.0,1168.0
1853,rest,3.8,4.0,5310.0
1854,retch,2.8,5.0,2.0
1855,rev,1.9,4.0,753.0
1856,rhyme,3.7,4.0,25.0
1857,rib,6.5,7.0,33.0
1858,rice,6.8,7.0,1209.0
1859,rich,4.3,4.0,2515.0
1860,rid,2.2,6.0,613.0
1861,ride,4.6,4.0,871.0
1862,ridge,4.9,8.0,273.0
1863,rift,3.3,7.0,193.0
1864,rig,4.0,6.0,226.0
1865,right,3.6,7.0,14304.0
1866,rile,1.7,7.0,13.0
1867,rim,4.7,6.0,173.0
1868,rind,3.4,7.0,18.0
1869,ring,6.2,6.0,797.0
1870,rink,4.2,29.0,56.0
1871,rinse,4.0,6.0,20.0
1872,rip,4.7,7.0,147.0
1873,ripe,4.7,7.0,264.0
1874,rise,3.3,4.0,13028.0
1875,risk,2.4,4.0,7422.0
1876,rite,2.1,6.0,225.0
1877,roach,6.6,6.0,265.0
1878,road,6.6,14.0,2053.0
1879,roam,3.9,4.0,55.0
1880,roar,4.1,7.0,71.0
1881,roast,5.7,8.0,64.0
1882,rob,4.2,5.0,155.0
1883,robe,5.9,22.0,27.0
1884,rock,6.4,4.0,1783.0
1885,rod,5.9,7.0,251.0
1886,rode,3.7,5.0,154.0
1887,roe,2.0,7.0,148.0
1888,rogue,4.0,11.0,65.0
1889,role,3.4,5.0,7040.0
1890,roll,4.5,5.0,1082.0
1891,romp,3.3,5.0,25.0
1892,roof,6.4,6.0,415.0
1893,rook,4.0,7.0,9.0
1894,room,5.6,13.0,4228.0
1895,roost,4.4,7.0,28.0
1896,root,6.0,7.0,435.0
1897,rope,6.6,7.0,151.0
1898,rose,6.7,5.0,34677.0
1899,rot,3.6,5.0,44.0
1900,rough,3.2,8.0,698.0
1901,round,5.4,8.0,2742.0
1902,rout,2.2,5.0,185.0
1903,route,4.7,6.0,1033.0
1904,rove,2.5,5.0,3.0
1905,rub,4.4,4.0,98.0
1906,rude,3.0,9.0,145.0
1907,rug,6.5,6.0,106.0
1908,rule,3.5,5.0,5626.0
1909,rum,5.4,9.0,58.0
1910,rump,4.7,5.0,11.0
1911,run,4.6,6.0,10385.0
1912,rung,3.9,8.0,50.0
1913,runt,3.8,11.0,3.0
1914,rush,3.9,4.0,1046.0
1915,rust,5.3,5.0,205.0
1916,rut,4.1,8.0,24.0
1917,rye,3.9,10.0,44.0
1918,sack,5.5,7.0,68.0
1919,sad,3.9,8.0,466.0
1920,safe,4.1,4.0,1757.0
1921,sag,3.6,6.0,48.0
1922,sage,4.7,9.0,110.0
1923,said,2.1,6.0,345647.0
1924,sail,6.0,4.0,144.0
1925,saint,5.5,5.0,526.0
1926,sake,2.3,5.0,288.0
1927,sale,3.8,7.0,20646.0
1928,salt,6.2,5.0,892.0
1929,salve,2.6,6.0,19.0
1930,same,2.4,8.0,18021.0
1931,sand,6.7,8.0,424.0
1932,sane,2.5,5.0,47.0
1933,sap,4.0,8.0,56.0
1934,sash,4.1,12.0,17.0
1935,sat,3.7,4.0,642.0
1936,sauce,5.7,8.0,190.0
1937,save,2.9,3.0,2568.0
1938,saw,3.9,5.0,3178.0
1939,say,2.8,5.0,36626.0
1940,scab,5.7,6.0,14.0
1941,scald,3.4,8.0,2.0
1942,scale,4.8,9.0,2219.0
1943,scalp,5.9,25.0,35.0
1944,scamp,2.6,12.0,2.0
1945,scan,3.7,5.0,94.0
1946,scant,2.0,6.0,333.0
1947,scar,6.2,6.0,39.0
1948,scarce,3.0,6.0,369.0
1949,scare,3.8,5.0,336.0
1950,scarf,6.5,22.0,40.0
1951,scene,3.8,6.0,1309.0
1952,scent,3.8,8.0,69.0
1953,scheme,2.7,9.0,1630.0
1954,school,6.5,6.0,8144.0
1955,scoff,2.6,7.0,74.0
1956,scold,3.9,9.0,13.0
1957,scoop,4.7,5.0,71.0
1958,scope,4.8,7.0,704.0
1959,scorch,3.9,5.0,4.0
1960,score,3.4,5.0,834.0
1961,scorn,2.3,3.0,72.0
1962,scotch,5.2,8.0,193.0
1963,scour,2.2,3.0,28.0
1964,scourge,1.6,11.0,53.0
1965,scout,5.3,9.0,138.0
1966,scowl,3.7,6.0,6.0
1967,scrap,4.2,5.0,496.0
1968,scrape,4.1,6.0,52.0
1969,scratch,4.7,5.0,262.0
1970,scrawl,2.5,6.0,8.0
1971,scream,4.5,6.0,90.0
1972,screech,3.5,8.0,9.0
1973,screen,6.2,4.0,1406.0
1974,screw,6.0,10.0,133.0
1975,scribe,3.5,7.0,22.0
1976,script,5.1,9.0,310.0
1977,scrub,4.9,7.0,55.0
1978,scruff,3.3,11.0,4.0
1979,scum,3.8,4.0,14.0
1980,sea,6.4,6.0,2253.0
1981,seal,5.5,4.0,304.0
1982,seam,3.7,8.0,13.0
1983,sear,2.7,6.0,28.0
1984,search,3.3,3.0,1984.0
1985,seat,6.2,7.0,2219.0
1986,sect,2.6,6.0,33.0
1987,see,3.0,4.0,15633.0
1988,seed,6.4,9.0,431.0
1989,seek,2.9,5.0,6117.0
1990,seem,1.7,5.0,5001.0
1991,seep,2.9,5.0,26.0
1992,seize,3.7,6.0,378.0
1993,self,4.3,3.0,4103.0
1994,sell,3.0,4.0,21996.0
1995,send,3.4,4.0,2216.0
1996,sense,2.8,5.0,4294.0
1997,sent,3.2,5.0,4853.0
1998,serf,3.2,9.0,8.0
1999,serve,3.0,6.0,2823.0
2000,set,3.7,,7313.5
2001,set,3.7,,7313.5
2002,sew,5.2,5.0,20.0
2003,sex,5.8,5.0,1288.0
2004,shack,5.5,9.0,126.0
2005,shade,4.3,5.0,143.0
2006,shaft,4.4,8.0,48.0
2007,shag,4.1,5.0,5.0
2008,shake,4.4,5.0,693.0
2009,shale,3.1,7.0,33.0
2010,shall,2.0,5.0,462.0
2011,sham,3.0,6.0,128.0
2012,shame,2.7,3.0,193.0
2013,shank,2.9,9.0,25.0
2014,shape,4.2,4.0,1243.0
2015,share,3.2,5.0,65901.0
2016,shark,6.8,27.0,109.0
2017,sharp,4.6,6.0,4261.0
2018,shave,5.6,7.0,102.0
2019,shawl,5.3,23.0,15.0
2020,she,3.8,8.0,24239.0
2021,shear,3.7,5.0,125.0
2022,sheath,4.0,6.0,2.0
2023,sheathe,3.2,3.0,1.0
2024,shed,6.1,,472.5
2025,shed,6.1,,472.5
2026,sheen,2.0,8.0,57.0
2027,sheep,6.8,,102.5
2028,sheep,6.8,,102.5
2029,sheer,3.5,4.0,355.0
2030,sheet,6.4,3.0,1415.0
2031,sheik,2.6,8.0,193.0
2032,shelf,6.5,6.0,1293.0
2033,shell,6.0,5.0,1454.0
2034,shelve,6.0,5.0,30.0
2035,shield,5.8,6.0,1118.0
2036,shift,3.6,3.0,2407.0
2037,shin,5.2,5.0,102.0
2038,shine,4.7,3.0,143.0
2039,ship,6.8,21.0,1753.0
2040,shirk,2.0,4.0,10.0
2041,shirt,6.5,22.0,499.0
2042,shoal,2.3,4.0,3.0
2043,shock,3.6,5.0,853.0
2044,shoe,6.5,21.0,901.0
2045,shone,2.5,4.0,28.0
2046,shook,3.8,6.0,209.0
2047,shoot,4.5,8.0,458.0
2048,shop,5.5,14.0,1754.0
2049,shore,5.8,9.0,633.0
2050,short,4.5,8.0,14601.0
2051,shot,4.9,9.0,2208.0
2052,should,1.9,5.0,23045.0
2053,shout,3.8,6.0,112.0
2054,shove,4.3,6.0,60.0
2055,show,4.0,3.0,11479.0
2056,shred,4.9,5.0,67.0
2057,shrew,3.5,10.0,6.0
2058,shrewd,2.7,6.0,185.0
2059,shriek,3.2,7.0,21.0
2060,shrill,2.5,7.0,42.0
2061,shrimp,6.8,,40.0
2062,shrimp,6.8,,40.0
2063,shrine,5.1,30.0,65.0
2064,shrink,4.0,6.0,713.0
2065,shroud,3.0,4.0,24.0
2066,shrub,6.3,15.0,7.0
2067,shrug,4.2,6.0,114.0
2068,shrunk,3.9,7.0,298.0
2069,shuck,3.6,4.0,11.0
2070,shun,3.0,4.0,164.0
2071,shunt,2.2,6.0,3.0
2072,shush,2.5,7.0,2.0
2073,shut,3.9,,658.0
2074,shut,3.9,,658.0
2075,shy,2.9,7.0,456.0
2076,sick,4.1,8.0,870.0
2077,side,3.8,5.0,5678.0
2078,siege,3.0,5.0,163.0
2079,sieve,1.9,6.0,24.0
2080,sift,4.0,4.0,42.0
2081,sigh,3.6,8.0,121.0
2082,sight,3.2,4.0,644.0
2083,sign,6.2,8.0,4058.0
2084,silk,5.9,7.0,178.0
2085,sill,2.9,7.0,8.0
2086,silt,4.0,8.0,15.0
2087,sin,3.0,5.0,196.0
2088,since,1.8,9.0,32522.0
2089,sing,4.9,7.0,280.0
2090,singe,3.5,7.0,0.0
2091,sink,5.4,5.0,286.0
2092,sip,4.4,5.0,47.0
2093,sir,3.8,13.0,1835.0
2094,sire,3.1,4.0,9.0
2095,sit,4.7,3.0,1417.0
2096,site,3.3,7.0,2152.0
2097,size,3.8,5.0,4979.0
2098,skate,5.9,5.0,31.0
2099,sketch,5.4,6.0,64.0
2100,skew,2.5,4.0,40.0
2101,ski,6.0,6.0,333.0
2102,skid,4.3,6.0,102.0
2103,skill,2.8,4.0,371.0
2104,skim,4.0,5.0,48.0
2105,skimp,3.0,3.0,19.0
2106,skin,6.3,24.0,868.0
2107,skip,4.2,3.0,154.0
2108,skirt,6.7,8.0,142.0
2109,skit,3.9,3.0,23.0
2110,skulk,2.2,5.0,2.0
2111,skull,6.5,17.0,77.0
2112,skunk,6.5,11.0,27.0
2113,sky,6.5,7.0,496.0
2114,slab,4.2,6.0,96.0
2115,slack,3.1,10.0,293.0
2116,slag,2.2,3.0,20.0
2117,slam,3.8,5.0,115.0
2118,slang,3.1,6.0,43.0
2119,slant,4.0,5.0,38.0
2120,slap,5.0,6.0,151.0
2121,slash,4.4,7.0,550.0
2122,slat,3.0,8.0,2.0
2123,slate,4.4,6.0,732.0
2124,slave,5.7,10.0,117.0
2125,slaw,4.3,10.0,9.0
2126,slay,3.8,5.0,16.0
2127,sled,6.6,7.0,54.0
2128,sleek,3.5,7.0,119.0
2129,sleep,5.5,4.0,529.0
2130,sleet,4.3,10.0,9.0
2131,sleeve,6.5,7.0,38.0
2132,sleight,2.3,2.0,37.0
2133,slept,4.5,5.0,108.0
2134,slew,2.5,6.0,162.0
2135,slice,5.3,3.0,257.0
2136,slick,4.0,7.0,226.0
2137,slid,4.1,6.0,1039.0
2138,slide,5.2,5.0,1476.0
2139,slight,2.3,8.0,1192.0
2140,slim,4.9,8.0,456.0
2141,slime,5.8,5.0,34.0
2142,sling,5.0,8.0,12.0
2143,slip,4.5,5.0,535.0
2144,slit,4.3,5.0,18.0
2145,slop,3.9,5.0,10.0
2146,slope,4.8,6.0,158.0
2147,slot,5.2,3.0,211.0
2148,sloth,4.1,4.0,18.0
2149,slouch,4.3,9.0,14.0
2150,slow,3.4,6.0,3799.0
2151,slug,5.7,7.0,41.0
2152,slum,4.2,5.0,58.0
2153,slump,3.9,7.0,1683.0
2154,slung,3.5,9.0,25.0
2155,slush,4.6,7.0,29.0
2156,slut,5.2,11.0,1.0
2157,sly,2.7,8.0,74.0
2158,smack,4.6,7.0,60.0
2159,small,4.2,8.0,16437.0
2160,smart,3.1,6.0,733.0
2161,smash,4.8,7.0,74.0
2162,smear,3.5,7.0,97.0
2163,smell,3.4,4.0,274.0
2164,smile,6.5,6.0,378.0
2165,smirk,4.5,9.0,9.0
2166,smite,2.1,6.0,6.0
2167,smock,4.5,6.0,13.0
2168,smog,6.0,4.0,136.0
2169,smoke,6.4,6.0,910.0
2170,smooth,4.0,7.0,526.0
2171,smudge,4.8,5.0,7.0
2172,smug,3.4,7.0,59.0
2173,smut,2.8,8.0,10.0
2174,snack,5.6,12.0,231.0
2175,snag,4.5,6.0,100.0
2176,snail,6.5,15.0,27.0
2177,snake,6.5,19.0,129.0
2178,snap,4.1,7.0,282.0
2179,snare,4.4,6.0,76.0
2180,snarl,4.2,7.0,35.0
2181,snatch,3.6,6.0,52.0
2182,sneak,3.5,6.0,126.0
2183,sneer,3.1,6.0,26.0
2184,sneeze,5.6,5.0,13.0
2185,sniff,4.3,5.0,48.0
2186,snip,3.8,5.0,6.0
2187,snipe,3.3,32.0,7.0
2188,snob,4.5,12.0,21.0
2189,snoop,3.7,4.0,5.0
2190,snooze,4.8,7.0,10.0
2191,snore,5.0,4.0,17.0
2192,snort,4.5,5.0,11.0
2193,snout,5.0,17.0,13.0
2194,snub,2.4,5.0,23.0
2195,snuff,4.3,5.0,54.0
2196,snug,3.9,7.0,16.0
2197,so,1.7,7.0,46961.0
2198,soak,4.0,5.0,84.0
2199,soap,6.5,5.0,440.0
2200,soar,4.3,6.0,327.0
2201,sob,4.6,9.0,26.0
2202,sock,6.7,8.0,36.0
2203,sod,4.2,5.0,28.0
2204,soft,4.1,6.0,2318.0
2205,soil,5.9,5.0,506.0
2206,sold,3.3,5.0,18532.0
2207,sole,3.8,4.0,976.0
2208,solve,2.7,3.0,944.0
2209,some,2.0,9.0,84965.0
2210,son,5.6,11.0,2642.0
2211,song,4.3,9.0,634.0
2212,soon,2.2,11.0,8343.0
2213,soot,4.6,8.0,13.0
2214,soothe,3.7,3.0,72.0
2215,sop,2.2,6.0,42.0
2216,sore,4.1,8.0,143.0
2217,sort,3.0,8.0,2504.0
2218,sought,2.0,6.0,4116.0
2219,soul,3.1,3.0,357.0
2220,sound,3.5,6.0,2531.0
2221,soup,6.5,11.0,486.0
2222,sour,3.6,5.0,365.0
2223,source,2.6,5.0,5428.0
2224,south,4.6,7.0,12413.0
2225,sow,4.6,5.0,35.0
2226,soy,3.9,15.0,42.0
2227,spa,6.0,6.0,1048.0
2228,space,4.5,2.0,5724.0
2229,spade,5.2,7.0,15.0
2230,span,2.9,4.0,240.0
2231,spank,5.0,5.0,2.0
2232,spar,2.7,4.0,64.0
2233,spare,4.2,4.0,659.0
2234,spark,5.4,4.0,529.0
2235,sparse,2.7,7.0,94.0
2236,spat,3.7,7.0,79.0
2237,spawn,3.5,14.0,81.0
2238,speak,3.8,5.0,1409.0
2239,spear,5.9,10.0,343.0
2240,speck,3.9,7.0,11.0
2241,speech,4.1,7.0,3047.0
2242,speed,3.3,5.0,2132.0
2243,spell,2.9,5.0,460.0
2244,spend,3.0,3.0,3976.0
2245,spent,3.3,4.0,4641.0
2246,sperm,6.0,11.0,99.0
2247,spew,3.8,7.0,23.0
2248,sphere,5.8,5.0,110.0
2249,sphinx,5.4,9.0,22.0
2250,spice,5.4,5.0,77.0
2251,spike,5.9,3.0,111.0
2252,spill,4.2,4.0,466.0
2253,spin,4.5,5.0,705.0
2254,spine,6.0,6.0,42.0
2255,spire,2.7,9.0,17.0
2256,spit,5.2,6.0,74.0
2257,spite,3.2,5.0,307.0
2258,splash,5.1,6.0,133.0
2259,splay,2.0,4.0,0.0
2260,spleen,5.5,7.0,18.0
2261,splice,3.5,6.0,15.0
2262,split,4.3,6.0,3841.0
2263,splotch,2.9,5.0,5.0
2264,splurge,3.2,6.0,18.0
2265,spoil,3.6,4.0,66.0
2266,spoke,4.1,6.0,786.0
2267,sponge,5.9,6.0,38.0
2268,spoof,2.2,7.0,36.0
2269,spook,3.6,8.0,27.0
2270,spool,5.5,8.0,10.0
2271,spoon,6.3,8.0,59.0
2272,spore,3.8,6.0,1.0
2273,sport,5.0,4.0,1033.0
2274,spot,5.2,6.0,2768.0
2275,spout,5.0,6.0,13.0
2276,sprain,4.5,7.0,4.0
2277,sprawl,3.6,5.0,37.0
2278,spray,5.0,5.0,229.0
2279,spread,4.0,3.0,2837.0
2280,spree,3.4,6.0,357.0
2281,sprig,2.9,11.0,3.0
2282,spring,5.9,4.0,3630.0
2283,sprint,4.7,5.0,686.0
2284,sprite,5.5,5.0,10.0
2285,sprout,4.7,8.0,44.0
2286,spruce,4.8,7.0,83.0
2287,spud,5.0,8.0,5.0
2288,spun,3.4,6.0,568.0
2289,spunk,2.8,5.0,6.0
2290,spur,5.3,7.0,840.0
2291,spurn,2.0,4.0,44.0
2292,spurt,3.3,8.0,221.0
2293,spy,4.3,9.0,391.0
2294,squad,4.4,7.0,186.0
2295,squall,4.0,8.0,2.0
2296,square,6.4,9.0,1817.0
2297,squash,5.3,,35.0
2298,squash,5.3,,35.0
2299,squat,4.5,4.0,39.0
2300,squaw,3.9,11.0,2.0
2301,squawk,3.6,5.0,15.0
2302,squeak,4.3,8.0,10.0
2303,squeal,3.1,5.0,25.0
2304,squeeze,4.3,5.0,755.0
2305,squelch,2.3,8.0,36.0
2306,squid,6.4,7.0,63.0
2307,squint,5.1,5.0,9.0
2308,squire,3.9,9.0,48.0
2309,squirm,4.7,5.0,18.0
2310,squirt,4.8,5.0,24.0
2311,stab,5.2,7.0,35.0
2312,stack,4.2,6.0,211.0
2313,staff,4.6,5.0,7575.0
2314,stag,5.0,38.0,17.0
2315,stage,6.1,5.0,2753.0
2316,stain,5.5,6.0,50.0
2317,stair,6.1,7.0,10.0
2318,stake,5.4,4.0,18370.0
2319,stale,3.3,8.0,64.0
2320,stalk,4.5,5.0,31.0
2321,stall,4.8,14.0,227.0
2322,stamp,6.1,8.0,373.0
2323,stance,3.4,4.0,999.0
2324,stand,5.0,6.0,3164.0
2325,star,6.8,5.0,2871.0
2326,starch,4.1,5.0,62.0
2327,stare,4.5,4.0,58.0
2328,stark,2.8,5.0,494.0
2329,start,2.9,3.0,7864.0
2330,starve,3.8,4.0,48.0
2331,state,4.9,4.0,31804.0
2332,staunch,1.7,7.0,167.0
2333,stay,2.6,3.0,3679.0
2334,stead,3.0,7.0,30.0
2335,steak,6.5,9.0,199.0
2336,steal,3.8,5.0,301.0
2337,stealth,2.8,3.0,410.0
2338,steam,5.6,5.0,813.0
2339,steed,4.2,36.0,28.0
2340,steel,5.8,5.0,8134.0
2341,steep,4.2,8.0,984.0
2342,steer,5.0,5.0,304.0
2343,stein,2.1,11.0,390.0
2344,stem,6.2,9.0,919.0
2345,stench,3.3,9.0,16.0
2346,step,5.7,8.0,4842.0
2347,stern,3.6,7.0,598.0
